Tweet_count,Username,tweet_text,Created at,Location,Followers Count,retweet_count,Favorite Count,formatted_created_at,Contains_Keyword,Original_Tweeter,mentions,retweet_id,reply_to,sentiment,neg,neu,pos,compound,Community,engagement_rate,followers_per_tweet,log_engagement_rate,log_followers_per_tweet,tweet_id,tweet_type,linked_tweet_id
819,XxRazorxX,@Marvel So Damn excited for the second one omg Still sad that chad isnt playing him cause he passed away But i hope who ever is Black Panther in This one can live up to Chad Boswells Legacy,Sun Jul 24 04:19:17 +0000 2022,"Michigan, USA",20,0,1,2022-07-24 04:19:17+00:00,True,Marvel,['@Marvel'],Missing_Retweet_ID,Marvel,"{'neg': 0.124, 'neu': 0.744, 'pos': 0.132, 'compound': 0.3284}",0.124,0.744,0.132,0.3284,6.0,0.05,0.02442002442002442,0.048790164169432,0.024126622614136752,5553,original,
832,Tim Dumas the Art King 🙌💪🏿💯,"@DiscussingFilm @JStorm00 I'd find it hard to believe that Chadwick would'nt want the Black Panther role reprised. It's odd that the character is basically being wrote off because he passed away. Find another great actor, and there's plenty, and honor Chadwick that way. T'Challa needs to live on.",Sun Jul 24 02:50:33 +0000 2022,"Yukon, OK",550,0,4,2022-07-24 02:50:33+00:00,False,DiscussingFilm,"['@DiscussingFilm', '@JStorm00']",Missing_Retweet_ID,DiscussingFilm,"{'neg': 0.067, 'neu': 0.778, 'pos': 0.156, 'compound': 0.7096}",0.067,0.778,0.156,0.7096,13.0,0.007272727272727273,0.6610576923076923,0.0072464085207672065,0.5074545635064066,5566,original,
835,Chad Ehret,"@Marvel Are we starting the movie off with a funeral? We need to honor Chadwick, and not hide behind a story. Its ok to say he passed from cancer. The fans will understand. #wakandaforever #rip",Sun Jul 24 02:33:42 +0000 2022,South Florida,329,0,2,2022-07-24 02:33:42+00:00,True,Marvel,['@Marvel'],Missing_Retweet_ID,Marvel,"{'neg': 0.165, 'neu': 0.67, 'pos': 0.165, 'compound': -0.2458}",0.165,0.67,0.165,-0.2458,6.0,0.0060790273556231,0.39401197604790417,0.006060624611691009,0.3321859034405276,5569,original,
840,Berto,@DiscussingFilm There's no pleasing anyone in this situation. If they had recasted T'Challa people would bitch and complain. RIP Chadwick Bosemam but I think Marvel was right in doing this. Just like in the comics  people die and mantels get passed down.,Sun Jul 24 02:09:22 +0000 2022,,180,5,326,2022-07-24 02:09:22+00:00,True,DiscussingFilm,['@DiscussingFilm'],Missing_Retweet_ID,DiscussingFilm,"{'neg': 0.205, 'neu': 0.627, 'pos': 0.169, 'compound': -0.2382}",0.205,0.627,0.169,-0.2382,13.0,1.8388888888888888,0.21428571428571427,1.043412739313494,0.19415601444095745,5574,original,
895,DLP bons plans,LIVE | Nous sommes prts  entrer dans le @Marvel Avengers Campus lors de cette premire Journe Avant-Premire Pass Annuel au sein du Walt Disney Studios Park !  https://t.co/c1giTZHzoK,Sat Jul 16 09:21:02 +0000 2022,Disneyland Paris,7679,1,50,2022-07-16 09:21:02+00:00,False,Marvel,['@Marvel'],Missing_Retweet_ID,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,6.0,0.006641489777314755,8.579888268156425,0.006619532250924095,2.259665928883067,5629,original,
983,keyla,"@Marvel Robert Downey Jr all the way, although ironman has passed away he made one of the greatest sacrifices. https://t.co/ZHEPW7eqDV",Mon Jul 04 00:33:56 +0000 2022,,25,0,5,2022-07-04 00:33:56+00:00,False,Marvel,['@Marvel'],Missing_Retweet_ID,Marvel,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.6369}",0.0,0.819,0.181,0.6369,6.0,0.2,0.0254323499491353,0.18232155679395465,0.025114328484147373,5717,original,
1045,Dufour patrick,"@Marvel Marvel Entertainment
@Marvel

14h
It's with deep sadness that we announce our dear friend and colleague Mike Pasciullo has passed away.",Thu Jun 23 09:57:57 +0000 2022,Bordeaux    France,3930,0,0,2022-06-23 09:57:57+00:00,True,Marvel,"['@Marvel', '@Marvel']",Missing_Retweet_ID,Marvel,"{'neg': 0.093, 'neu': 0.543, 'pos': 0.364, 'compound': 0.8176}",0.093,0.543,0.364,0.8176,6.0,0.0,3.7607655502392343,0.0,1.5604084851937818,5779,original,
1145,Danny109996,@Marvel iron man though he had pass away,Tue May 31 14:52:16 +0000 2022,,0,0,0,2022-05-31 14:52:16+00:00,False,Marvel,['@Marvel'],Missing_Retweet_ID,Marvel,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5879,original,
1199,GearGades,"@DiscussingFilm Quite Corporate of them to treat the likeness of the one who gave a lot to them - who passed away after been robbed in his last years &amp; been attack by some of the Marvel Employees for been an white guy - like an IP property.

VERY of Disney &amp; their Corporate acolytes.",Wed May 18 21:33:33 +0000 2022,Puerto Rico,147,0,3,2022-05-18 21:33:33+00:00,False,DiscussingFilm,['@DiscussingFilm'],Missing_Retweet_ID,DiscussingFilm,"{'neg': 0.052, 'neu': 0.812, 'pos': 0.135, 'compound': 0.5994}",0.052,0.812,0.135,0.5994,13.0,0.02040816326530612,0.12260216847372811,0.020202707317519445,0.11564935517715888,5933,original,
1218,Eric Hovland,@DiscussingFilm It's already passed the first film so Marvel is likely going to be happy with the results.,Sun May 15 21:04:00 +0000 2022,"Oregon, USA",567,0,0,2022-05-15 21:04:00+00:00,False,DiscussingFilm,['@DiscussingFilm'],Missing_Retweet_ID,DiscussingFilm,"{'neg': 0.0, 'neu': 0.686, 'pos': 0.314, 'compound': 0.8083}",0.0,0.686,0.314,0.8083,13.0,0.0,0.46551724137931033,0.0,0.38220824594389713,5952,original,
