PCA1,PCA2,Community,t-SNE1,t-SNE2,Simplified Community,Username,engagement_score,retweet_count,Favorite Count,Followers Count
-13569.543427229244,-0.04368972816287632,1,-11.541212,0.58132446,1,carleazy,0.018957345971563982,0,4,210
-13346.543427228895,-0.06264296915693672,558,1.5386243,-20.122704,Other,"rudy mondragón, phd",0.0,0,0,433
-9561.543427228944,-0.05996604208366931,559,52.756927,19.215857,Other,leah uko,0.0026072529035316427,1,10,4218
-12083.543427228895,-0.06261971988973031,13,43.351585,-31.604555,13,👑madkinggucci👑,0.0,0,0,1696
-13556.543427228977,-0.058182549116533304,560,-14.187601,7.5979652,Other,tyrone shaw,0.004464285714285714,0,1,223
-11169.543427228917,-0.061453909941162684,193,47.136646,-1.8115367,Other,🐝notgoinback🐝,0.0011489850631941786,0,3,2610
-13177.54342722917,-0.04771448507553165,26,16.509693,-32.236492,Other,barbara,0.014925373134328358,1,8,602
-13643.543427229299,-0.04075062610530644,1,-39.878395,9.161594,1,tyr,0.021897810218978103,0,3,136
-13032.54342722892,-0.06130029065836221,1,12.0222025,32.54101,1,elohiniar,0.001336898395721925,0,1,747
-10779.543427228895,-0.0625957158957183,300,46.989807,6.1804996,Other,backseat baebeh,0.0,0,0,3000
-13013.543427228919,-0.061333058337839724,13,12.202386,34.997097,13,iran p rivera,0.001303780964797914,0,1,766
-13534.543427229044,-0.05451634855464692,194,-18.776941,20.631588,Other,mousey ↜( ≗ﻌ≗),0.008130081300813009,0,2,245
-13748.543427228895,-0.0626503691612257,1,-67.38977,-1.1790254,1,ernesto ochoa,0.0,0,0,31
-11193.54342722891,-0.06183024054517451,22,47.529236,-2.5290108,Other,thepopculturedude (daniel),0.0007730962504831851,0,2,2586
-13778.543427228895,-0.06265092140035174,1,-36.66856,47.66433,1,milky way,0.0,0,0,1
-11753.543427228913,-0.0616269654369462,561,48.395317,-18.826452,Other,dan mitchinson,0.000986679822397632,0,2,2026
-12387.543427228895,-0.06262531591287421,562,30.367334,-30.118809,Other,nyr fan,0.0,0,0,1392
-12289.543427228982,-0.05792867625097796,0,34.60689,-33.826748,0,mark renshaw,0.004694835680751174,2,5,1490
-13605.543427229211,-0.04550487967853442,563,-22.08622,-11.821651,Other,nishant thelakkat,0.017142857142857144,0,3,174
-13322.543427228895,-0.06264252736563589,564,-0.6821398,-26.81421,Other,adri mrno,0.0,0,0,457
-13461.543427228895,-0.06264508607358656,1,-1.4304541,21.227797,1,cyberknight_miky (michael lindström),0.0,0,0,318
-13504.543427228895,-0.06264587761633388,8,-11.740493,36.74283,8,⚙️gearmagi⚙️🔞beginning the ritual,0.0,0,0,275
-13047.54342722892,-0.06127320869342887,301,11.936932,30.453299,Other,blackwomenrock ✊🏾,0.001364256480218281,0,1,732
-11718.543427228895,-0.06261300098036345,1,48.4159,-17.8939,1,ben riegel,0.0,0,0,2061
-13663.543427228895,-0.0626488044837019,195,-47.096283,-1.3413177,Other,c,0.0,0,0,116
-12986.543427228895,-0.06263634228742421,60,13.988901,38.194874,Other,hugo r.,0.0,0,0,793
-13764.543427228895,-0.06265066368875959,3,-52.442516,27.756798,3,john lennon,0.0,0,0,15
-13601.543427228895,-0.06264766318950808,302,-19.905125,-13.183462,Other,jxx,0.0,0,0,178
-13759.543427229772,-0.015031524029857642,1,-55.9673,22.056759,1,crystal “rain” barron,0.047619047619047616,0,1,20
-13669.543427228895,-0.06264891493152712,0,-46.647327,-4.788334,0,mr targaryen,0.0,0,0,110
-13655.543427272338,2.2973513427800643,565,-46.49134,3.404918,Other,martine somsen ❤🎶❤️,2.36,19,276,124
-13779.543427247303,0.9373490601916772,303,-36.891106,49.486485,Other,g.j lion usa,1.0,0,1,0
-13750.543427228895,-0.06265040597716744,1,-66.961586,1.2158052,1,liz fran,0.0,0,0,29
-13458.543427228895,-0.06264503084967395,566,-0.90777963,19.753613,Other,𝐒𝐩𝐚𝐜𝐞𝐫𝐚𝐩𝐭𝐨𝐫𝟏𝟖,0.0,0,0,321
-13768.543427228895,-0.06265073732064305,567,-49.269073,32.608067,Other,ratking,0.0,0,0,11
-6000.543427228897,-0.06250774420293964,28,67.50631,13.696242,Other,jacob airey,0.0,0,0,7779
-13433.543427228895,-0.06264457065040224,304,3.1684515,7.8703556,Other,freddyrigby ✨,0.0,0,0,346
-13757.543427228895,-0.06265053483296351,0,-64.09868,9.34761,0,dmw,0.0,0,0,22
-13561.543427228895,-0.06264692687067336,1,-13.065072,5.3145585,1,justin gupana,0.0,0,0,218
-13670.543427229062,-0.053558024248588895,305,-46.54575,-5.413307,Other,gr8juice,0.00909090909090909,0,1,109
-13687.543427229093,-0.05189655810295973,306,-40.475197,-15.898326,Other,miranda king,0.010752688172043012,0,1,92
-13688.543427229095,-0.05177969946558231,568,-39.995876,-16.540228,Other,cheshire november 2022!,0.010869565217391304,0,1,91
-13390.543427228895,-0.06264377910765491,569,5.0605,-8.760079,Other,the dirt on the wall{7=1}ready for my next concert,0.0,0,0,389
-11092.543427228957,-0.059253263304885735,196,46.999557,0.18718396,Other,keith birmingham,0.0033482142857142855,2,7,2687
-13641.543427228895,-0.0626483995083428,15,-38.413246,9.476335,15,rayna hartman,0.0,0,0,138
-13670.543427228895,-0.06264893333949799,20,-46.301495,-5.3463373,Other,hg,0.0,0,0,109
-13761.543427228895,-0.06265060846484698,1,-54.73989,23.970928,1,xtakay studio,0.0,0,0,18
-13205.543427228895,-0.06264037363304431,15,14.797072,-38.014038,15,frank hart,0.0,0,0,574
-13776.543427233497,0.18734911541558996,1,-40.98888,43.319607,1,rihanna🥱,0.25,0,1,3
-11188.54342722891,-0.06183163981753175,0,47.48978,-2.3107004,0,save tcm 🎦 📺📚🩸🤒 ♿️ talent scout on sabbatical,0.0007716049382716049,1,1,2591
-12132.543427228895,-0.06262062188030285,15,40.736675,-33.497723,15,the haternation,0.0,0,0,1647
-13725.543427228895,-0.06264994577789573,570,-48.435917,-36.24212,Other,david griffin,0.0,0,0,54
-13660.543427228895,-0.0626487492597893,571,-47.22764,0.2867615,Other,mcu_crawler_dc,0.0,0,0,119
-11567.543427228904,-0.06215834609434032,15,47.997112,-12.990275,15,stacey moseley,0.00045187528242205153,0,1,2212
-13398.54342723646,0.3483508380264838,1,5.281354,-6.279809,1,rob dodson jr,0.4109947643979058,0,157,381
-13434.543427229215,-0.045303548595945375,15,3.371627,8.567732,15,wesley shawn,0.017341040462427744,0,6,345
-13613.543427228895,-0.0626478840851585,15,-25.80595,-7.4408884,15,kristen,0.0,0,0,166
-12931.54342722896,-0.05910176094443282,1,20.823042,40.823406,1,space cowboy.,0.0035335689045936395,1,2,848
-13760.543427238099,0.43734940994312377,0,-55.82384,23.15174,0,angie baries,0.5,0,10,19
-13729.543427228895,-0.0626500194097792,1,-51.83162,-32.82532,1,monex kije moses,0.0,0,0,50
-13659.543427228895,-0.06264873085181843,15,-47.107883,0.88161117,15,jedigaljo,0.0,0,0,120
-13760.543427229815,-0.012650590056876125,0,-55.177223,22.793015,0,angie baries,0.05,0,1,19
-13760.543427230736,0.03734940994312387,0,-55.591686,23.091633,0,angie baries,0.1,0,2,19
-13500.54342722896,-0.05907437541302184,0,-10.123145,36.575485,0,brittney murphy industries,0.0035714285714285713,0,1,279
-13358.543427228895,-0.06264319005258713,2,3.017353,-16.397345,2,nick nocera,0.0,0,0,421
-13459.54342722901,-0.05641451966262924,1,-0.92398256,20.26238,1,dessa,0.006230529595015576,0,2,320
-13318.543427228935,-0.060477951569250246,572,-1.0056617,-27.493435,Other,yurika ੈ✩‧₊˚,0.0021645021645021645,0,1,461
-13699.543427228895,-0.06264946717065316,15,-35.211563,-23.757833,15,heyshae,0.0,0,0,80
