Community,Average Degree Centrality,Node Count,Community Description
228,0.0004565558567555,5,muhammad | https://t.co/q6uiibhvzc @du1869 | robert f. williams
229,0.0004565558567555,5,sony | microsoft | ps
230,0.0005706948209444,5,@landrumbrandon @theblackpanther
231,0.0004565558567555,5,nakia
232,0.0004565558567555,5,
233,0.0004565558567555,5,@statefarm
234,0.0004565558567555,5,xbox
235,0.0004565558567555,5,
236,0.0004565558567555,5,chadwick boseman | @19hassan49 | natgeo
237,0.0004565558567555,5,@reiteller @dai_mieo @art444star
238,0.0004565558567555,5,
239,0.0004565558567555,5,chadwick boseman | @vivsmythe
240,0.0004565558567555,5,ariel | @brndxix
241,0.0004565558567555,5,
242,0.0004565558567555,5,chadwick boseman | wakanda
243,0.0004565558567555,5,ko | ki background | ho | ke baat kar rha | @aaratis_14 | ke baat nhi kar rha selection
244,0.0004565558567555,5,luke | @amulet_spad15
245,0.0004565558567555,5,@ddkeyd | @benreilly149
246,0.0004565558567555,5,
247,0.0004565558567555,5,chadwick boseman | @lewy601
248,0.0004565558567555,5,@maxwelljadot
249,0.0004565558567555,5,
250,0.0004565558567555,5,@snakiergj | aucun film | mme dr strange | shang chi
251,0.0004565558567555,5,@f0ur_he_d @rileyanntoine | shuri
252,0.0004565558567555,5,jordan | chadwick | @ayobbybop
253,0.0004565558567555,5,
254,0.0004565558567555,5,@_mrundead
255,0.0005706948209444,5,
256,0.0004565558567555,5,
257,0.0004565558567555,5,@grandecw | @popgirliefan | chris
258,0.0004565558567555,5,@relax_b13
259,0.0004565558567555,5,
260,0.0004565558567555,5,cb
261,0.0004565558567555,5,chadwick boseman @fazegrizzly58
262,0.0004565558567555,5,chadwick boseman | @joelembiid
263,0.0004565558567555,5,cmon now
264,0.0004565558567555,5,
265,0.0004280211157083,4,
266,0.0004280211157083,4,@tylr_tylr_tylr @notkavi
267,0.0004280211157083,4,america
268,0.0004280211157083,4,
269,0.0004280211157083,4,@kirsinordstrm @churchill
270,0.0005706948209444,4,
271,0.0004280211157083,4,
