Community,Average Degree Centrality,Node Count
Community 798,0.000380463213963,3
Community 799,0.000380463213963,3
Community 800,0.000380463213963,3
Community 801,0.000380463213963,3
Community 802,0.000380463213963,3
Community 803,0.000380463213963,3
Community 804,0.000380463213963,3
Community 805,0.000380463213963,3
Community 806,0.000380463213963,3
Community 807,0.000380463213963,3
Community 808,0.000380463213963,3
Community 809,0.000380463213963,3
Community 810,0.000380463213963,3
Community 811,0.000380463213963,3
Community 812,0.000380463213963,3
Community 813,0.000380463213963,3
Community 814,0.000380463213963,3
Community 815,0.000380463213963,3
Community 816,0.000380463213963,3
Community 817,0.000380463213963,3
Community 818,0.000380463213963,3
Community 819,0.000380463213963,3
Community 820,0.000380463213963,3
Community 821,0.000380463213963,3
Community 822,0.000380463213963,3
Community 823,0.000380463213963,3
Community 824,0.000380463213963,3
Community 825,0.000380463213963,3
Community 826,0.000380463213963,3
Community 827,0.000380463213963,3
Community 828,0.000380463213963,3
Community 829,0.000380463213963,3
Community 830,0.000380463213963,3
Community 831,0.000380463213963,3
Community 832,0.000380463213963,3
Community 833,0.000380463213963,3
Community 834,0.000380463213963,3
Community 835,0.000380463213963,3
Community 836,0.000380463213963,3
Community 837,0.000380463213963,3
Community 838,0.000380463213963,3
Community 839,0.000380463213963,3
Community 840,0.000380463213963,3
Community 841,0.000380463213963,3
Community 842,0.000380463213963,3
Community 843,0.000380463213963,3
Community 844,0.000380463213963,3
Community 845,0.000380463213963,3
Community 846,0.000380463213963,3
Community 847,0.000380463213963,3
Community 848,0.000380463213963,3
Community 849,0.000380463213963,3
Community 850,0.000380463213963,3
Community 851,0.000380463213963,3
Community 852,0.000380463213963,3
Community 853,0.000380463213963,3
Community 854,0.000380463213963,3
Community 855,0.000380463213963,3
Community 856,0.000380463213963,3
Community 857,0.000380463213963,3
Community 858,0.000380463213963,3
Community 859,0.000380463213963,3
Community 860,0.000380463213963,3
Community 861,0.000380463213963,3
Community 862,0.000380463213963,3
Community 863,0.000380463213963,3
Community 864,0.000380463213963,3
Community 865,0.000380463213963,3
Community 866,0.000380463213963,3
Community 867,0.000380463213963,3
Community 868,0.000380463213963,3
Community 869,0.000380463213963,3
Community 870,0.000380463213963,3
