Tweet_count,Username,tweet_text,Created at,Location,Followers Count,retweet_count,Favorite Count,formatted_created_at,Contains_Keyword,Original_Tweeter,mentions,retweet_id,reply_to,neg,neu,pos,compound,Community,engagement_rate,followers_per_tweet,log_engagement_rate,log_followers_per_tweet,tweet_id,tweet_type,linked_tweet_id,tweet_text_lower,content_category
790,blessings apparel,"We are saddened to announce Black Panther star Chadwick Boseman has passed away after battling with Colon Cancer. Prayers go out to him and his family, as this news has shocked us all!  https://t.co/PsRvNoLeMP",Sat Aug 29 16:00:35 +0000 2020,United States,33,1,2,2020-08-29 16:00:35+00:00,True,self,,Missing_Retweet_ID,,0.294,0.706,0.0,-0.9098,Other,0.09090909090909091,0.04177215189873418,0.08701137698962977,0.04092325521600263,789,original,,"we are saddened to announce black panther star chadwick boseman has passed away after battling with colon cancer. prayers go out to him and his family, as this news has shocked us all!  https://t.co/psrvnolemp",Black Panther
806,wʌnliz,"RIP Chadwick Boseman, honestly loved his play as Black Panther, hit me hard hearing that he passed away...",Sat Aug 29 15:45:32 +0000 2020,Philippines,15,0,1,2020-08-29 15:45:32+00:00,True,self,,Missing_Retweet_ID,,0.057,0.567,0.377,0.836,Other,0.06666666666666667,0.018610421836228287,0.06453852113757118,0.018439366945799927,805,original,,"rip chadwick boseman, honestly loved his play as black panther, hit me hard hearing that he passed away...",Black Panther
811,praveen kujur,Mourns 'Black Panther' Star American actor #ChadwickBoseman's demise. He has passed away at the age of 43 after a four-year battle with colon cancer. A phenomenally talented actor &amp; superb human. An Inspiration whose impact went far beyond film. Your legacy will live on forever. https://t.co/qMf1dkTpuU,Sat Aug 29 15:44:20 +0000 2020, India,101,0,20,2020-08-29 15:44:20+00:00,False,self,,Missing_Retweet_ID,,0.176,0.642,0.182,0.1027,Other,0.19801980198019803,0.12453760789149199,0.18067002875548166,0.11737193595891847,810,original,,mourns 'black panther' star american actor #chadwickboseman's demise. he has passed away at the age of 43 after a four-year battle with colon cancer. a phenomenally talented actor &amp; superb human. an inspiration whose impact went far beyond film. your legacy will live on forever. https://t.co/qmf1dktpuu,Black Panther
861,infoframe ( regardless true ),"Chadwick boseman who was best known as Black Panther passed away on Friday after secretly fighting with colon cancer since 2016. His work and talent will stay with us for ever. Our thoughts are with his family. Rest in peace hero.
#ChadwickBoseman #WakandaForever https://t.co/xgkjjvZLc3",Sat Aug 29 15:06:39 +0000 2020, World ,9,1,1,2020-08-29 15:06:39+00:00,True,self,,Missing_Retweet_ID,,0.117,0.644,0.239,0.802,Other,0.2222222222222222,0.010452961672473868,0.20067069546215116,0.010398707220898602,860,original,,"chadwick boseman who was best known as black panther passed away on friday after secretly fighting with colon cancer since 2016. his work and talent will stay with us for ever. our thoughts are with his family. rest in peace hero.
#chadwickboseman #wakandaforever https://t.co/xgkjjvzlc3",Black Panther
869,versace 💸🔥,I cant believe that this amazing guy pass away.  This year is suck we are losing all the good guys Rest In Peace brother .  Wakanda forever  https://t.co/bFb8edXDXd,Sat Aug 29 14:59:58 +0000 2020,,36,0,3,2020-08-29 14:59:58+00:00,False,self,,Missing_Retweet_ID,,0.147,0.561,0.291,0.7506,Other,0.08333333333333333,0.04142692750287687,0.08004270767353643,0.04059181843453408,868,original,,i cant believe that this amazing guy pass away.  this year is suck we are losing all the good guys rest in peace brother .  wakanda forever  https://t.co/bfb8edxdxd,Black Panther
880,andre nassif,"@blumspew @joshgad @jhaletweets @chadwickboseman Really heartbreaking to find out he passed away just yesterday, R.I.P Chadwick Boseman. Wakanda forever",Sat Aug 29 14:55:24 +0000 2020,,126,1,7,2020-08-29 14:55:24+00:00,False,blumspew,"@blumspew, @joshgad, @jhaletweets, @chadwickboseman",Missing_Retweet_ID,blumspew,0.155,0.845,0.0,-0.5095,41.0,0.06349206349206349,0.1431818181818182,0.061557892999433365,0.13381544318743235,879,original,,"@blumspew @joshgad @jhaletweets @chadwickboseman really heartbreaking to find out he passed away just yesterday, r.i.p chadwick boseman. wakanda forever",Black Panther
900,marvel theory,Sadly Chadwick Boseman the actor who played Black Panther passed away due to colon cancer. we will miss him dearly R.I.P #WakandaForever #ChadwickBoseman,Sat Aug 29 14:45:30 +0000 2020,,14,1,3,2020-08-29 14:45:30+00:00,True,self,,Missing_Retweet_ID,,0.275,0.562,0.162,-0.5574,Other,0.2857142857142857,0.015555555555555555,0.2513144282809061,0.015435808129839258,899,original,,sadly chadwick boseman the actor who played black panther passed away due to colon cancer. we will miss him dearly r.i.p #wakandaforever #chadwickboseman,Black Panther
910,nivi ll dont fight the feeling,im gonna cry omlll chadwick has passed away. im a huge marvel fan as well. black panther was the first marvel movie i watched and is one of my favourites. he helped the world beocme a better place. rest in power. u will forever be a legend #ChadwickBosemanForever #WakandaForever https://t.co/LNMgVReCF6,Sat Aug 29 14:37:06 +0000 2020,,42,0,3,2020-08-29 14:37:06+00:00,True,self,,Missing_Retweet_ID,,0.055,0.675,0.27,0.8779,Other,0.07142857142857142,0.046153846153846156,0.06899287148695145,0.045120435280469585,909,original,,im gonna cry omlll chadwick has passed away. im a huge marvel fan as well. black panther was the first marvel movie i watched and is one of my favourites. he helped the world beocme a better place. rest in power. u will forever be a legend #chadwickbosemanforever #wakandaforever https://t.co/lnmgvrecf6,Marvel
918,sabrina nicole kong,Im really shocked  that Black Panther actor: Chadwick Boseman passed away at 43 years old after 4- years right with colon cancer!!  https://t.co/jXxhf9Q2BI,Sat Aug 29 14:28:54 +0000 2020,,3,0,1,2020-08-29 14:28:54+00:00,False,self,,Missing_Retweet_ID,,0.265,0.735,0.0,-0.8214,Other,0.3333333333333333,0.0032679738562091504,0.2876820724517809,0.003262645634816381,917,original,,im really shocked  that black panther actor: chadwick boseman passed away at 43 years old after 4- years right with colon cancer!!  https://t.co/jxxhf9q2bi,Black Panther
989,mrjohnson,"Its sad what happened with Chadwick Boseman. Passed away at the height of his career, and still with more movies coming soon. Lets hope Black Panther 2 pays tribute, and doesnt recast him. Wakanda Forever! https://t.co/PJWOSJyeH9",Sat Aug 29 13:37:14 +0000 2020,Your mom’s house ,7,0,1,2020-08-29 13:37:14+00:00,True,self,,Missing_Retweet_ID,,0.086,0.84,0.074,-0.126,Other,0.14285714285714285,0.007077856420626896,0.13353139262452263,0.007052925961886119,988,original,,"its sad what happened with chadwick boseman. passed away at the height of his career, and still with more movies coming soon. lets hope black panther 2 pays tribute, and doesnt recast him. wakanda forever! https://t.co/pjwosjyeh9",Black Panther
1028,morning news network,Morning News: Chadwick Boseman passed away from colon cancer at 43.  This world has lost a great actor and a superhero.  Wakanda Forever!,Sat Aug 29 13:12:31 +0000 2020,,14,1,1,2020-08-29 13:12:31+00:00,False,self,,Missing_Retweet_ID,,0.24,0.619,0.141,-0.4389,Other,0.14285714285714285,0.013618677042801557,0.13353139262452263,0.013526776298201811,1027,original,,morning news: chadwick boseman passed away from colon cancer at 43.  this world has lost a great actor and a superhero.  wakanda forever!,Black Panther
