Node,Hop Distance,Influence Decay
Xad,2,0.0006933942074475674
Xad,3,0.0006240547867028107
Xad,4,0.0005616493080325296
@GraceRandolph,1,0.0035953773719503497
@GraceRandolph,2,0.003235839634755315
@GraceRandolph,3,0.0029122556712797834
@GraceRandolph,4,0.002621030104151805
@StJude,1,0.000256812669425025
@StJude,2,0.0002311314024825225
@StJude,3,0.00020801826223427027
@StJude,4,0.0001872164360108432
GraceRandolph,1,0.0012840633471251249
GraceRandolph,2,0.0011556570124126124
GraceRandolph,3,0.0010400913111713512
GraceRandolph,4,0.0009360821800542161
TheHeartbreakSoldier,1,0.000770438008275075
TheHeartbreakSoldier,2,0.0006933942074475674
TheHeartbreakSoldier,3,0.0006240547867028107
TheHeartbreakSoldier,4,0.0005616493080325296
@LewisHamilton,1,0.000770438008275075
@LewisHamilton,2,0.0006933942074475674
@LewisHamilton,3,0.0006240547867028107
@LewisHamilton,4,0.0005616493080325296
LewisHamilton,1,0.000256812669425025
LewisHamilton,2,0.0002311314024825225
LewisHamilton,3,0.00020801826223427027
LewisHamilton,4,0.0001872164360108432
Amanda Gibbs,1,0.00051362533885005
Amanda Gibbs,2,0.000462262804965045
Amanda Gibbs,3,0.00041603652446854054
Amanda Gibbs,4,0.0003744328720216864
@sherylunderwood,1,0.000256812669425025
@sherylunderwood,2,0.0002311314024825225
@sherylunderwood,3,0.00020801826223427027
@sherylunderwood,4,0.0001872164360108432
sherylunderwood,1,0.000256812669425025
sherylunderwood,2,0.0002311314024825225
sherylunderwood,3,0.00020801826223427027
sherylunderwood,4,0.0001872164360108432
TreeStand,1,0.00051362533885005
TreeStand,2,0.000462262804965045
TreeStand,3,0.00041603652446854054
TreeStand,4,0.0003744328720216864
@HappyPower,1,0.000256812669425025
@HappyPower,2,0.0002311314024825225
@HappyPower,3,0.00020801826223427027
@HappyPower,4,0.0001872164360108432
HappyPower,1,0.000256812669425025
HappyPower,2,0.0002311314024825225
HappyPower,3,0.00020801826223427027
HappyPower,4,0.0001872164360108432
Ryan Aaron,1,0.00051362533885005
Ryan Aaron,2,0.000462262804965045
Ryan Aaron,3,0.00041603652446854054
Ryan Aaron,4,0.0003744328720216864
