formatted_created_at,neg,neu,pos,compound
2020-08-29 12:00:00,0.086,0.707,0.207,0.5574
2020-08-29 12:00:00,0.369,0.434,0.198,-0.8074
2020-08-29 12:00:00,0.369,0.434,0.198,-0.8074
2020-08-29 12:00:00,0.369,0.434,0.198,-0.8074
2020-08-29 12:00:00,0.369,0.434,0.198,-0.8074
2020-08-29 12:00:00,0.369,0.434,0.198,-0.8074
2020-08-29 12:00:00,0.369,0.434,0.198,-0.8074
2020-08-29 11:59:00,0.175,0.635,0.19,0.0772
2020-08-29 11:55:00,0.0,0.609,0.391,0.8271
2020-08-29 11:55:00,0.264,0.604,0.132,-0.5423
2020-08-29 11:54:00,0.0,1.0,0.0,0.0
2020-08-29 11:53:00,0.0,1.0,0.0,0.0
2020-08-29 11:50:00,0.319,0.681,0.0,-0.8176
2020-08-29 11:50:00,0.277,0.564,0.159,-0.5216
2020-08-29 11:48:00,0.355,0.645,0.0,-0.6597
2020-08-29 11:46:00,0.338,0.461,0.201,-0.7972
2020-08-29 11:46:00,0.155,0.608,0.236,0.296
2020-08-29 11:45:00,0.255,0.745,0.0,-0.34
2020-08-29 11:44:00,0.289,0.444,0.267,-0.0772
2020-08-29 11:43:00,0.0,1.0,0.0,0.0
2020-08-29 11:41:00,0.28,0.42,0.3,-0.0695
2020-08-29 11:40:00,0.234,0.68,0.087,-0.5368
2020-08-29 11:38:00,0.211,0.559,0.23,0.0772
2020-08-29 11:36:00,0.335,0.526,0.139,-0.6249
2020-08-29 11:34:00,0.26,0.621,0.119,-0.6124
2020-08-29 11:34:00,0.122,0.699,0.179,0.3182
2020-08-29 11:32:00,0.341,0.449,0.21,-0.5222
2020-08-29 11:32:00,0.201,0.342,0.457,0.7906
2020-08-29 11:31:00,0.304,0.565,0.13,-0.6124
2020-08-29 11:31:00,0.27,0.522,0.209,-0.1779
2020-08-29 11:29:00,0.205,0.795,0.0,-0.4767
2020-08-29 11:29:00,0.247,0.753,0.0,-0.3182
2020-08-29 11:28:00,0.188,0.609,0.203,-0.1169
2020-08-29 11:28:00,0.0,0.897,0.103,0.1531
2020-08-29 11:28:00,0.264,0.736,0.0,-0.7996
2020-08-29 11:23:00,0.0,0.854,0.146,0.34
2020-08-29 11:23:00,0.0,1.0,0.0,0.0
2020-08-29 11:21:00,0.176,0.729,0.095,-0.4939
